Algorithm,Elapsed_Time,Best_Objective
GRASP,0.85166,7603.27
GRASP,3.123647,7640.81
GRASP,6.783274,7645.07
GRASP,11.256687,7674.79
GRASP,22.676475,7719.41
GRASP,92.377347,7728.74
GRASP+TS,0.004682,6094.62
GRASP+TS,0.092424,6206.1
GRASP+TS,0.157145,6307.19
GRASP+TS,0.222063,6390.19
GRASP+TS,0.287038,6465.98
GRASP+TS,0.352626,6538.45
GRASP+TS,0.418011,6602.56
GRASP+TS,0.483789,6657.4
GRASP+TS,0.549671,6709.74
GRASP+TS,0.61576,6766.57
GRASP+TS,0.682431,6820.18
GRASP+TS,0.748836,6869.98
GRASP+TS,0.8153,6920.46
GRASP+TS,0.881546,6970.99
GRASP+TS,0.948072,7015.59
GRASP+TS,1.014528,7056.73
GRASP+TS,1.081061,7101.4
GRASP+TS,1.147149,7141.7
GRASP+TS,1.214108,7177.29
GRASP+TS,1.281185,7212.19
GRASP+TS,1.348439,7242.67
GRASP+TS,1.415385,7268.23
GRASP+TS,1.481642,7291.67
GRASP+TS,1.548677,7322.95
GRASP+TS,1.616094,7351.89
GRASP+TS,1.683384,7375.62
GRASP+TS,1.750776,7398.96
GRASP+TS,1.817722,7419.61
GRASP+TS,1.88535,7441.97
GRASP+TS,1.952873,7461.79
GRASP+TS,2.020596,7471.45
GRASP+TS,2.087641,7478.91
GRASP+TS,2.154644,7491.36
GRASP+TS,2.222181,7507.17
GRASP+TS,2.28925,7515.83
GRASP+TS,2.356785,7525.33
GRASP+TS,2.424144,7537.32
GRASP+TS,2.491618,7546.57
GRASP+TS,2.559002,7547.75
GRASP+TS,2.671287,7550.86
GRASP+TS,2.73823,7552.67
GRASP+TS,2.805363,7559.7
GRASP+TS,2.872344,7562.08
GRASP+TS,2.940188,7564.39
GRASP+TS,3.007619,7568.77
GRASP+TS,3.074915,7573.89
GRASP+TS,3.142323,7579.46
GRASP+TS,3.209588,7581.97
GRASP+TS,3.277203,7584.39
GRASP+TS,3.345039,7589.13
GRASP+TS,3.412922,7597.04
GRASP+TS,3.480338,7606.98
GRASP+TS,3.547561,7618.11
GRASP+TS,3.61498,7625.18
GRASP+TS,3.682256,7628.27
GRASP+TS,3.749879,7634.78
GRASP+TS,3.81724,7639.76
GRASP+TS,3.884638,7645.24
GRASP+TS,3.952217,7653.57
GRASP+TS,4.020122,7656.46
GRASP+TS,4.087453,7659.96
GRASP+TS,4.155708,7665.38
GRASP+TS,4.223756,7669.61
GRASP+TS,4.291422,7673.29
GRASP+TS,4.359273,7677.85
GRASP+TS,4.426565,7680.95
GRASP+TS,4.493849,7685.15
GRASP+TS,4.561243,7692.46
GRASP+TS,4.629001,7704.58
GRASP+TS,4.69734,7712.65
GRASP+TS,4.764923,7721.42
GRASP+TS,4.832902,7731.08
GRASP+TS,4.900496,7736.25
GRASP+TS,4.968373,7736.86
GRASP+TS,5.035942,7738.97
GRASP+TS,5.103667,7740.13
GRASP+TS,5.171047,7744.56
GRASP+TS,46.915823,7746.37
GRASP+TS,46.984049,7752.37
GRASP+TS,47.097484,7755.12
GRASP+TS,47.165857,7755.56
GRASP+TS,47.233775,7756.24
GRASP+TS,59.14774,7758.68
GRASP+TS,59.215178,7765.76
GRASP+TS,59.375281,7765.85
GRASP+TS,59.443022,7771.66
